date, pm25, pm10, o3, no2, so2, co
2023/5/21, 80, 66, 54, 68, 10, 27
2023/5/22, 74, 68, 50, 73, 21, 46
2023/5/23, 97, 72, 59, 82, 14, 36
2023/5/24, 112, 70, 59, 101, 15, 49
2023/5/25, 105, 76, 72, 64, 8, 21
2023/5/26, 94, 60, 72, 43, 6, 12
2023/5/27, 63, 70, 54, 61, 10, 10
2023/5/28, 79, 82, 51, 98, 14, 
2023/5/29, 107, , , , , 
2023/6/11, 98, 59, 57, 83, 25, 41
2023/6/12, 107, 71, 52, 97, 19, 28
2023/6/13, 139, 69, , 71, 22, 37
2023/6/14, 122, 71, , 78, 18, 48
2023/6/15, 120, 68, 61, 96, 11, 37
2023/6/16, 115, 64, 61, 74, 7, 22
2023/6/17, 102, 59, 66, 82, 9, 33
2023/6/18, 102, 74, 66, 103, 22, 73
2023/6/19, 135, 84, 66, 103, 10, 45
2023/6/20, 152, 75, 82, 104, 15, 60
2023/6/21, 142, 69, 72, 92, 10, 28
2023/6/22, 126, 78, 72, 104, 17, 67
2023/6/23, 139, 97, 69, 62, 7, 18
2023/6/24, 82, 124, 55, 60, 7, 13
2023/6/25, 99, 109, 55, 20, 21, 19
2023/6/26, 99, 84, , 64, 30, 57
2023/6/27, 153, 91, 77, 96, 19, 93
2023/6/28, 157, 90, 77, 106, 16, 31
2023/6/29, 149, 78, 87, 106, 17, 74
2023/6/30, 147, 73, 87, 96, 16, 27
2023/2/9, 58, 32, , 49, 19, 15
2023/2/10, 38, 51, , 58, 22, 22
2023/2/11, 60, 37, , 51, 13, 15
2023/2/12, 44, 40, , 70, 28, 20
2023/2/13, 65, 97, , 86, 62, 32
2023/2/14, 150, 80, , 68, 40, 22
2023/2/15, 123, 61, , 67, 25, 18
2023/2/16, 84, 47, , 62, 36, 12
2023/2/17, 58, 67, , 78, 53, 31
2023/2/18, 75, 78, , 79, 43, 33
2023/2/19, 90, 64, , 62, 41, 15
2023/2/20, 63, 73, , 95, 59, 38
2023/2/21, 80, 63, , 74, 49, 23
2023/2/22, 65, 62, , 72, 62, 17
2023/2/23, 63, 82, , 83, 56, 43
2023/2/24, 99, 70, , 62, 32, 18
2023/2/25, 69, 66, , 65, 16, 22
2023/2/26, 72, 74, , 89, 17, 30
2023/2/27, 87, 75, , 96, 28, 24
2023/2/28, 98, 80, , 92, 31, 37
2023/3/1, 99, 72, , 97, 24, 25
2023/3/2, 89, 91, , 100, 20, 46
2023/3/3, 135, 76, , 91, 21, 45
2023/3/4, 115, 68, , 67, 24, 23
2023/3/5, 85, 79, , 90, 33, 40
